2024-12-16 00:21:20 INFO  Metro - Запуск приложения...
2024-12-16 00:21:23 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 00:21:38 INFO  Metro - Запуск приложения...
2024-12-16 00:21:41 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 00:22:03 INFO  Metro - Запуск приложения...
2024-12-16 00:22:14 INFO  Metro - Кратчайший путь рассчитан: Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Площадь Восстания. Время в пути: 21 минут.
2024-12-16 00:22:26 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 10:39:49 INFO  Metro - Запуск приложения...
2024-12-16 10:39:52 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 10:39:58 INFO  Metro - Запуск приложения...
2024-12-16 10:40:02 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 17:08:16 INFO  Metro - Запуск приложения...
2024-12-16 17:08:19 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 18:47:15 INFO  Metro - Запуск приложения...
2024-12-16 18:47:25 INFO  Metro - Кратчайший путь рассчитан: Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Площадь Восстания -> Чернышевская -> Площадь Ленина -> Выборгская -> Лесная. Время в пути: 30 минут.
2024-12-16 18:47:27 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 18:55:37 INFO  Metro - Запуск приложения...
2024-12-16 18:55:39 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 18:56:01 INFO  Metro - Запуск приложения...
2024-12-16 18:56:04 INFO  Metro - Приложение закрыто пользователем.
2024-12-16 19:21:36 INFO  Metro - Запуск приложения...
2024-12-16 19:21:44 INFO  Metro - Кратчайший путь рассчитан: Василеостровская -> Гостиный двор -> Маяковская -> Площадь Восстания -> Чернышевская -> Площадь Ленина -> Выборгская. Время в пути: 30 минут.
2024-12-16 19:30:13 INFO  Metro - Запуск приложения...
2024-12-16 19:30:30 INFO  Metro - Кратчайший путь рассчитан: Спасская -> Достоевская -> Лиговский проспект -> Площадь Александра Невского 2. Время в пути: 15 минут.
2024-12-16 19:33:13 INFO  Metro - Кратчайший путь рассчитан: Елизаровская -> Площадь Александра Невского 1 -> Площадь Александра Невского 2 -> Новочеркасская. Время в пути: 15 минут.
2024-12-16 19:33:19 INFO  Metro - Кратчайший путь рассчитан: Елизаровская -> Площадь Александра Невского 1 -> Площадь Александра Невского 2 -> Новочеркасская -> Ладожская. Время в пути: 20 минут.
2024-12-16 19:35:18 INFO  Metro - Кратчайший путь рассчитан: Петроградская -> Горьковская -> Невский проспект -> Гостиный двор -> Маяковская -> Площадь Восстания -> Чернышевская. Время в пути: 23 минут.
2024-12-16 19:37:12 INFO  Metro - Кратчайший путь рассчитан: Петроградская -> Горьковская -> Невский проспект -> Гостиный двор -> Маяковская -> Площадь Восстания -> Чернышевская. Время в пути: 23 минут.
2024-12-16 19:51:34 INFO  Metro - Кратчайший путь рассчитан: Елизаровская -> Площадь Александра Невского 1 -> Площадь Александра Невского 2 -> Новочеркасская -> Ладожская. Время в пути: 20 минут.
2024-12-16 19:54:49 INFO  Metro - Кратчайший путь рассчитан: Спасская -> Достоевская -> Лиговский проспект -> Площадь Александра Невского 2. Время в пути: 15 минут.
2025-01-08 18:18:44 INFO  Metro - Запуск приложения...
2025-01-08 18:18:53 INFO  Metro - Кратчайший путь рассчитан: Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Площадь Восстания -> Чернышевская -> Площадь Ленина. Время в пути: 33 минут.
